SUB_CAT_ID	CAT_NAME	NAME
1	Sports	Tennis
2	Sports	Soccer
3	Sports	Basketball
4	Sports	Football
5	Sports	Hockey
6	Sports	Extreme
7	Sports	Running
8	Sports	Walking
9	Sports	Jogging
10	Sports	Hiking
11	Sports	Swimming
12	Development	Java
13	Development	C#
14	Development	C++
15	Development	C
16	Development	Python
17	Development	Ruby
18	Development	CSS
19	Development	HTML
20	Development	JavaScript
21	Pets	Dogs
22	Pets	Cats
23	Pets	Reptiles
24	Pets	Dog Walking
25	Pets	Grooming
26	Books	Book Club
27	Books	Story Reading
28	Books	Biography
29	Books	Thriller
30	Books	Educational
31	Books	Kids
32	Books	Cooking
33	Books	Harry Potter
34	Movies	Movie Club
35	Movies	Cinema
36	Movies	Watch together
37	Movies	Series
38	Movies	Star Wars
39	TV	Series Club
40	TV	Watching group
41	TV	Series
42	TV	Seasons
43	TV	Discussion
44	Art	Museum
45	Art	Painting
46	Art	Auction
47	Art	Sale
48	Art	Lessons
49	Art	Sculpture
50	Art	Dance
51	Theater	Drama club
52	Theater	Acting class
53	Theater	Drama lessons
54	Theater	Viewings
55	Recreation	Video Games
56	Recreation	Skating
57	Recreation	Table-Top
58	Recreation	Debate club
59	Recreation	Study group
60	Recreation	For kids
61	Food	Tasting
62	Food	Lessons
63	Food	Wine tasting
64	Food	Eating out
65	Food	Cooking
66	Food	Cooking show
67	Food	Food events
68	Food	Competition
